Date,Spotify_Ad-supported,Spotify_Premium
Feb-28,0.00053837184615385,0.00081129169230769
Mar-28,0.00053837184615385,0.00081129169230769
Apr-28,0.00053837184615385,0.00081129169230769
May-28,0.00053837184615385,0.00081129169230769
Jun-28,0.00053837184615385,0.00081129169230769
Jul-28,0.00053837184615385,0.00081129169230769
Aug-28,0.00053837184615385,0.00081129169230769
Sep-28,0.00053837184615385,0.00081129169230769
Oct-28,0.00053837184615385,0.00081129169230769
Nov-28,0.00053837184615385,0.00081129169230769
Dec-28,0.00053837184615385,0.00081129169230769
Jan-29,0.00053837184615385,0.00081129169230769
Feb-29,0.00053837184615385,0.00081129169230769
Mar-29,0.00053837184615385,0.00081129169230769
Apr-29,0.00053837184615385,0.00081129169230769
May-29,0.00053837184615385,0.00081129169230769
Jun-29,0.00053837184615385,0.00081129169230769
Jul-29,0.00053837184615385,0.00081129169230769
Aug-29,0.00053837184615385,0.00081129169230769
Sep-29,0.00053837184615385,0.00081129169230769
Oct-29,0.00053837184615385,0.00081129169230769
Nov-29,0.00053837184615385,0.00081129169230769
Dec-29,0.00053837184615385,0.00081129169230769
Jan-30,0.00053837184615385,0.00081129169230769
Feb-30,0.00053837184615385,0.00081129169230769
Mar-30,0.00053837184615385,0.00081129169230769
Apr-30,0.00053837184615385,0.00081129169230769
May-30,0.00053837184615385,0.00081129169230769
Jun-30,0.00053837184615385,0.00081129169230769
Jul-30,0.00053837184615385,0.00081129169230769
Aug-30,0.00053837184615385,0.00081129169230769
Sep-30,0.00053837184615385,0.00081129169230769
Oct-30,0.00053837184615385,0.00081129169230769
Nov-30,0.00053837184615385,0.00081129169230769
Dec-30,0.00053837184615385,0.00081129169230769
Jan-31,0.00053837184615385,0.00081129169230769
Feb-31,0.00053837184615385,0.00081129169230769
Mar-31,0.00053837184615385,0.00081129169230769
Apr-31,0.00053837184615385,0.00081129169230769
May-31,0.00053837184615385,0.00081129169230769
Jun-31,0.00053837184615385,0.00081129169230769
Jul-31,0.00053837184615385,0.00081129169230769
Aug-31,0.00053837184615385,0.00081129169230769
Sep-31,0.00053837184615385,0.00081129169230769
Oct-31,0.00053837184615385,0.00081129169230769
Nov-31,0.00053837184615385,0.00081129169230769
Dec-31,0.00053837184615385,0.00081129169230769
Jan-32,0.00053837184615385,0.00081129169230769
Feb-32,0.00053837184615385,0.00081129169230769
Mar-32,0.00053837184615385,0.00081129169230769
Apr-32,0.00053837184615385,0.00081129169230769
May-32,0.00053837184615385,0.00081129169230769
Jun-32,0.00053837184615385,0.00081129169230769
Jul-32,0.00053837184615385,0.00081129169230769
Aug-32,0.00053837184615385,0.00081129169230769
Sep-32,0.00053837184615385,0.00081129169230769
Oct-32,0.00053837184615385,0.00081129169230769
Nov-32,0.00053837184615385,0.00081129169230769
Dec-32,0.00053837184615385,0.00081129169230769
Jan-33,0.00053837184615385,0.00081129169230769
Feb-33,0.00053837184615385,0.00081129169230769
Mar-33,0.00053837184615385,0.00081129169230769
Apr-33,0.00053837184615385,0.00081129169230769
May-33,0.00053837184615385,0.00081129169230769
Jun-33,0.00053837184615385,0.00081129169230769
Jul-33,0.00053837184615385,0.00081129169230769
Aug-33,0.00053837184615385,0.00081129169230769
Sep-33,0.00053837184615385,0.00081129169230769
Oct-33,0.00053837184615385,0.00081129169230769
Nov-33,0.00053837184615385,0.00081129169230769
Dec-33,0.00053837184615385,0.00081129169230769
Jan-34,0.00053837184615385,0.00081129169230769
Feb-34,0.00053837184615385,0.00081129169230769
Mar-34,0.00053837184615385,0.00081129169230769
Apr-34,0.00053837184615385,0.00081129169230769
May-34,0.00053837184615385,0.00081129169230769
Jun-34,0.00053837184615385,0.00081129169230769
Jul-34,0.00053837184615385,0.00081129169230769
Aug-34,0.00053837184615385,0.00081129169230769
Sep-34,0.00053837184615385,0.00081129169230769
Oct-34,0.00053837184615385,0.00081129169230769
Nov-34,0.00053837184615385,0.00081129169230769
Dec-34,0.00053837184615385,0.00081129169230769
Jan-35,0.00053837184615385,0.00081129169230769
Feb-35,0.00053837184615385,0.00081129169230769
Mar-35,0.00053837184615385,0.00081129169230769
Apr-35,0.00053837184615385,0.00081129169230769
May-35,0.00053837184615385,0.00081129169230769
Jun-35,0.00053837184615385,0.00081129169230769
Jul-35,0.00053837184615385,0.00081129169230769
Aug-35,0.00053837184615385,0.00081129169230769
Sep-35,0.00053837184615385,0.00081129169230769
Oct-35,0.00053837184615385,0.00081129169230769
Nov-35,0.00053837184615385,0.00081129169230769
Dec-35,0.00053837184615385,0.00081129169230769
Jan-36,0.00053837184615385,0.00081129169230769
Feb-36,0.00053837184615385,0.00081129169230769
Mar-36,0.00053837184615385,0.00081129169230769
Apr-36,0.00053837184615385,0.00081129169230769
May-36,0.00053837184615385,0.00081129169230769
Jun-36,0.00053837184615385,0.00081129169230769
Jul-36,0.00053837184615385,0.00081129169230769
Aug-36,0.00053837184615385,0.00081129169230769
Sep-36,0.00053837184615385,0.00081129169230769
Oct-36,0.00053837184615385,0.00081129169230769
Nov-36,0.00053837184615385,0.00081129169230769
Dec-36,0.00053837184615385,0.00081129169230769
Jan-37,0.00053837184615385,0.00081129169230769
Feb-37,0.00053837184615385,0.00081129169230769
Mar-37,0.00053837184615385,0.00081129169230769
Apr-37,0.00053837184615385,0.00081129169230769
May-37,0.00053837184615385,0.00081129169230769
Jun-37,0.00053837184615385,0.00081129169230769
Jul-37,0.00053837184615385,0.00081129169230769
Aug-37,0.00053837184615385,0.00081129169230769
Sep-37,0.00053837184615385,0.00081129169230769
Oct-37,0.00053837184615385,0.00081129169230769
Nov-37,0.00053837184615385,0.00081129169230769
Dec-37,0.00053837184615385,0.00081129169230769
Jan-38,0.00053837184615385,0.00081129169230769
Feb-38,0.00053837184615385,0.00081129169230769
Mar-38,0.00053837184615385,0.00081129169230769
Apr-38,0.00053837184615385,0.00081129169230769
May-38,0.00053837184615385,0.00081129169230769
Jun-38,0.00053837184615385,0.00081129169230769
Jul-38,0.00053837184615385,0.00081129169230769
Aug-38,0.00053837184615385,0.00081129169230769
Sep-38,0.00053837184615385,0.00081129169230769
Oct-38,0.00053837184615385,0.00081129169230769
Nov-38,0.00053837184615385,0.00081129169230769
Dec-38,0.00053837184615385,0.00081129169230769
Jan-39,0.00053837184615385,0.00081129169230769
Feb-39,0.00053837184615385,0.00081129169230769
Mar-39,0.00053837184615385,0.00081129169230769
Apr-39,0.00053837184615385,0.00081129169230769
May-39,0.00053837184615385,0.00081129169230769
Jun-39,0.00053837184615385,0.00081129169230769
Jul-39,0.00053837184615385,0.00081129169230769
Aug-39,0.00053837184615385,0.00081129169230769
Sep-39,0.00053837184615385,0.00081129169230769
Oct-39,0.00053837184615385,0.00081129169230769
Nov-39,0.00053837184615385,0.00081129169230769
Dec-39,0.00053837184615385,0.00081129169230769
Jan-40,0.00053837184615385,0.00081129169230769
Feb-40,0.00053837184615385,0.00081129169230769
Mar-40,0.00053837184615385,0.00081129169230769
Apr-40,0.00053837184615385,0.00081129169230769
May-40,0.00053837184615385,0.00081129169230769
Jun-40,0.00053837184615385,0.00081129169230769
Jul-40,0.00053837184615385,0.00081129169230769
Aug-40,0.00053837184615385,0.00081129169230769
Sep-40,0.00053837184615385,0.00081129169230769
Oct-40,0.00053837184615385,0.00081129169230769
Nov-40,0.00053837184615385,0.00081129169230769
Dec-40,0.00053837184615385,0.00081129169230769
Jan-41,0.00053837184615385,0.00081129169230769
Feb-41,0.00053837184615385,0.00081129169230769
Mar-41,0.00053837184615385,0.00081129169230769
Apr-41,0.00053837184615385,0.00081129169230769
May-41,0.00053837184615385,0.00081129169230769
Jun-41,0.00053837184615385,0.00081129169230769
Jul-41,0.00053837184615385,0.00081129169230769
Aug-41,0.00053837184615385,0.00081129169230769
Sep-41,0.00053837184615385,0.00081129169230769
Oct-41,0.00053837184615385,0.00081129169230769
Nov-41,0.00053837184615385,0.00081129169230769
Dec-41,0.00053837184615385,0.00081129169230769
Jan-42,0.00053837184615385,0.00081129169230769
Feb-42,0.00053837184615385,0.00081129169230769
